name,quadrant,ring,isNew,description
Azure Service Bus,Adopt,Tools,TRUE,"<p>Microsoft Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics. Service Bus is used to decouple applications and services from each other. <a href=""https://docs.microsoft.com/sv-se/azure/////service-bus-messaging/service-bus-messaging-overview"">What is Azure Service Bus?</a> </p>"
Qualys,Adopt,Tools,TRUE,"<p>Qualys is a commercial vulnerability and web application scanner. It can be used to proactively locate, identify, and assess vulnerabilities so that they can be prioritized and corrected before they are targeted and exploited by attackers. <a href=""https://www.qualys.com/"">Qualys</a> </p>"
Windows Defender Antivirus,Adopt,Tools,TRUE,"<p>Microsoft Defender Antivirus still delivers the comprehensive, ongoing, and real-time protection you expect against software threats like viruses, malware, and spyware across email, apps, the cloud, and the web. <a href=""https://www.microsoft.com/en-us/windows/comprehensive-security"">Microsoft Defender Antivirus</a> </p>"
Cosmos DB,Adopt,Tools,TRUE,"<p>Azure Cosmos DB is a fully managed NoSQL database for modern app development. Single-digit millisecond response times, and automatic and instant scalability, guarantee speed at any scale. <a href=""https://docs.microsoft.com/sv-se/azure/cosmos-db/introduction"">Azure Cosmos DB</a> </p>"
Azure Devops,Adopt,Tools,TRUE,"<p>Azure DevOps provides developer services for support teams to plan work, collaborate on code development, and build and deploy applications. Developers can work in the cloud using Azure DevOps Services or on-premises using Azure DevOps Server. <a href=""https://azure.microsoft.com/en-us/services/devops/?nav=min"">Azure DevOps</a> </p>"
ABBYY FlexiCapture,Adopt,Tools,TRUE,"<p>ABBYY FlexiCapture is a highly accurate and scalable document imaging and data extraction software that automatically transforms documents of any structure, language or content into usable and accessible business-ready data.<a href=""https://www.abbyy.com/flexicapture/"">ABBYY FlexiCapture</a> </p>"
Cylance Protect,Adopt,Tools,TRUE,"<p>CylancePROTECT is an advanced threat protection solution that, unlike other traditional endpoint protection software, makes no use of malware signatures. Instead, it employs techniques such as machine learning and artificial intelligence, which allows the identification of malicious code based on its behavior. <a href=""https://www.blackberry.com/us/en/cylance"">Cylance Protect</a> </p>"
Resharper,Adopt,Tools,TRUE,"<p>Designed to make Visual Studio a better IDE for C++ developers, providing code analysis, quick-fixes, search and navigation, smart code completion, refactorings etc. <a href=""https://www.jetbrains.com/resharper/"">ReSharper</a> </p>"
Azure Keyvault,Adopt,Tools,TRUE,"<p>Azure Key Vault is a cloud service for securely storing and accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, certificates, or cryptographic keys. <a href=""https://docs.microsoft.com/sv-se/azure/key-vault/general/basic-concepts"">Azure Key Vault basic concepts</a> </p>"
Azure Functions,Adopt,Tools,TRUE,"<p>Azure Functions is an event driven, compute-on-demand experience that extends the existing Azure application platform with capabilities to implement code triggered by events occurring in Azure or third party service as well as on-premises systems. <a href=""https://docs.microsoft.com/sv-se/azure/azure-functions/"">Azure Functions-dokumentation</a> </p>"
Application Insights,Adopt,Tools,TRUE,"<p>Application Insights, a feature of Azure Monitor, is an extensible Application Performance Management (APM) service <a href=""https://docs.microsoft.com/sv-se/azure/azure-monitor/app/app-insights-overview"">Application Insights</a> </p>"
Nuget Packages,Adopt,Tools,TRUE,"<p>NuGet is the package manager for .NET. The NuGet client tools provide the ability to produce and consume packages. <a href=""https://www.nuget.org/"">NuGet</a> </p>"
SSAS - Tabular cubes,Adopt,Tools,TRUE,"<p>Tabular models in Analysis Services are databases that run in-memory or in DirectQuery mode, connecting to data from back-end relational data sources. <a href=""https://docs.microsoft.com/en-us/analysis-services/tabular-models/tabular-models-ssas?view=asallproducts-allversions"">Tabular modeling overview</a> </p>"
Azure Kubernetes Service,Adopt,Tools,TRUE,"<p>Distribuera och hantera program i containrar enklare med en fullständigt hanterad Kubernetes-tjänst. <a href=""https://docs.microsoft.com/en-us/azure/aks/"">Azure Kubernetes Service (AKS)</a> </p>"
Azure Datafactory,Adopt,Tools,TRUE,"<p>En fullständigt hanterad och serverlös dataintegreringslösning för att mata in, förbereda och transformera alla din data i stor skala. <a href=""https://docs.microsoft.com/sv-se/azure/data-factory/"">Dokumentation om Azure Data Factory</a> </p>"
Veracode,Adopt,Tools,TRUE,"<p>Analyze our build solutions and provides a report of issues<a href=""https://www.veracode.com/products/application-analysis"">Veracode Application Analysis</a></p>"
Azure CLI,Adopt,Tools,TRUE,"<p>Azure command-line interface (Azure CLI) is a set of commands used to create and manage Azure resources. <a href=""https://docs.microsoft.com/en-us/cli/azure/"">Azure Command-Line Interface (CLI) documentation</a></p>"
Windows server 2016 ,Adopt,Platforms,TRUE,"<p>Microsoft Server operating system. Microsoft Windows Server 2016, previously referred to as Windows Server vNext, is a server operating system (OS). The server operating system is specifically developed to serve as a platform for running networked applications. A highly anticipated feature of Windows Server 2016 is the inclusion of two native containers: Windows Server Containers and Hyper-V Containers. Windows Server Containers will run directly on the OS but are isolated from each other. Hyper-V Containers provide enhanced isolation and run from a Microsoft Hyper-V virtual machine (VM). Windows Server 2016 will also provide built-in support for Docker, which can be used to manage both types of containers. EOL Mainstream support January 11, 2022. Extended support adds 5 more years.<a href=""https://searchwindowsserver.techtarget.com/definition/Microsoft-Windows-Server-2016</a> </p>"
Windows server 2019,Adopt,Platforms,TRUE,"<p>Windows Server 2019 is the operating system that bridges on-premises environments with Azure services, enabling hybrid scenarios that maximize existing investments. Increase security and reduce business risk with multiple layers of protection built into the operating system. Evolve your datacenter infrastructure to achieve greater efficiency and scale with Hyper-converged Infrastructure (HCI). Enable developers and IT pros to create cloud native applications and modernize their traditional apps using containers and micro-services. EOL Mainstream support January 9, 2024. Extended support adds 5 more years. <a href=""https://www.microway.com.au/microsoft/Windows_Server_2019_Feature_Comparison_Guide_EN_US.pdf>Windows Server 2019</a> </p>"
SQL server 2016 SP2,Adopt,Platforms,TRUE,"<p>Microsoft SQL Server 2016 is a relational database management system (DBMS) for Windows platforms that can be used for building, deploying and managing applications located on premises or in the cloud. The latest version, SQL Server 2016, was released in June 2016. It provides a bevy of and improved capabilities, including:

- A stretch database feature, which can be used to store some data on premises and send infrequently used data to Microsoft’s Azure cloud. Applications can access all data, regardless of where it’s stored.
- The Always Encrypted feature makes it possible to encrypt data at rest and in at the column level.
- Polybase, which integrates SQL Server with Hadoop’s Distributed File System and enables Hadoop data to be queried with SQL and joined with native relational data.
- In-database advanced analytics provides the capability to incorporate the R programming language into SQL Server applications by wrapping it in stored procedures.
- Dynamic data masking can be used to obfuscate data, protecting actual data values from unauthorized personnel for regulatory and compliance purposes.
- Support for temporal data enables automatic tracking of historical changes to data over time. EOL Mainstream support July 13, 2021. Extended support adds 5 more years.<a href=""https://secureanycloud.com/sql-server-2016-standard-on-windows-server-2016/>MicrosoftSQL Server 2016</a> </p>"
Workspace ONE,Adopt,Platforms,TRUE,"<p>With the Workspace ONE Intelligent Hub installed on the devices, users authenticate with the Hub and enroll their devices. Based on the admin UEM console configurations, users can access the enterprise applications and Web applications through the Intelligent Hub Catalog and other services of the Hub.<a href=""https://docs.vmware.com/en/VMware-Workspace-ONE-UEM/services/macOS_Platform/GUID-37ACACC7-8222-47A0-8EF8-600EA2B10705.html>Workspace ONE intelligent HUB</a> </p>"
